Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Churn
Male,78,No,Yes,No,No,0,No,0,1,No Offer,No,No,Yes,DSL,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,Yes
Female,74,No,Yes,Yes,Yes,1,Yes,1,8,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,Yes
Male,71,No,Yes,No,Yes,3,No,0,18,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,Yes
Female,78,No,Yes,Yes,Yes,1,Yes,1,25,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,Yes
Female,80,No,Yes,Yes,Yes,1,Yes,1,37,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,Yes
Female,72,No,Yes,No,Yes,1,No,0,27,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,Yes
Female,76,No,Yes,Yes,Yes,2,Yes,1,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,Yes
Male,66,No,Yes,Yes,No,0,Yes,6,58,Offer B,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,Yes
Female,70,No,Yes,No,Yes,2,No,0,15,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,Yes
Female,77,No,Yes,No,Yes,2,No,0,7,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,Yes
Female,78,No,Yes,No,Yes,1,No,0,11,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,Yes
Male,65,No,Yes,No,No,0,No,0,15,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,Yes
Male,77,No,Yes,Yes,No,0,Yes,1,1,Offer E,No,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,Yes
Male,67,No,Yes,No,No,0,No,0,3,Offer E,No,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,Yes
Male,68,No,Yes,No,No,0,No,0,13,Offer D,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,Yes
Female,68,No,Yes,No,No,0,No,0,16,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,Yes
Male,66,No,Yes,No,No,0,No,0,8,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,Yes
Male,69,No,Yes,No,No,0,No,0,24,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,Yes
Female,74,No,Yes,No,No,0,No,0,4,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,Yes
Male,76,No,Yes,Yes,No,0,Yes,2,32,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,Yes
Male,77,No,Yes,Yes,No,0,Yes,1,24,Offer C,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,Yes
Female,70,No,Yes,No,No,0,No,0,54,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,Yes
Female,74,No,Yes,No,No,0,No,0,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,Yes
Female,77,No,Yes,No,No,0,No,0,21,No Offer,No,No,Yes,Cable,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,Yes
Male,71,No,Yes,Yes,No,0,No,0,27,No Offer,No,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,Yes
Male,79,No,Yes,Yes,No,0,Yes,1,11,No Offer,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,Yes
Female,66,No,Yes,Yes,No,0,Yes,2,55,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,Yes
Male,77,No,Yes,No,No,0,No,0,3,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,Yes
Female,80,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,Yes
Female,77,No,Yes,No,No,0,No,0,5,Offer E,No,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,Yes
Female,77,No,Yes,No,No,0,No,0,20,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,Yes
Female,72,No,Yes,Yes,No,0,Yes,4,5,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,Yes
Female,80,No,Yes,Yes,No,0,Yes,2,27,No Offer,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,Yes
Female,74,No,Yes,No,No,0,No,0,4,No Offer,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,Yes
Female,68,No,Yes,No,No,0,No,0,1,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,Yes
Female,78,No,Yes,Yes,No,0,Yes,3,65,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,Yes
Male,75,No,Yes,Yes,No,0,Yes,3,49,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,Yes
Male,77,No,Yes,Yes,No,0,Yes,1,43,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,Yes
Male,80,No,Yes,Yes,No,0,No,0,56,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,Yes
Male,75,No,Yes,Yes,No,0,Yes,7,20,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,Yes
Female,69,No,Yes,No,No,0,No,0,2,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,Yes
Female,74,No,Yes,No,No,0,No,0,8,No Offer,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,Yes
Male,76,No,Yes,No,No,0,No,0,52,No Offer,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,Yes
Male,69,No,Yes,No,No,0,No,0,2,No Offer,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,Yes
Male,72,No,Yes,Yes,No,0,Yes,1,33,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,Yes
Female,69,No,Yes,No,No,0,No,0,30,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,Yes
Male,73,No,Yes,No,No,0,No,0,20,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,Yes
Female,65,No,Yes,No,No,0,No,0,46,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,Yes
Male,74,No,Yes,Yes,No,0,Yes,1,7,No Offer,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,Yes
Female,65,No,Yes,No,No,0,No,0,4,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,Yes
Female,66,No,Yes,No,No,0,No,0,55,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,Yes
Male,71,No,Yes,Yes,No,0,Yes,1,20,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,Yes
Male,65,No,Yes,No,No,0,No,0,9,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,Yes
Male,69,No,Yes,No,No,0,No,0,10,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,Yes
Male,75,No,Yes,Yes,No,0,No,0,1,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,Yes
Female,75,No,Yes,No,No,0,No,0,3,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,Yes
Female,68,No,Yes,No,No,0,No,0,4,No Offer,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,Yes
Male,71,No,Yes,No,No,0,No,0,35,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,Yes
Male,80,No,Yes,No,No,0,No,0,2,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,Yes
Male,66,No,Yes,No,No,0,No,0,8,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,Yes
Male,73,No,Yes,Yes,No,0,Yes,2,44,No Offer,No,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,Yes
Male,77,No,Yes,Yes,No,0,Yes,1,62,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,Yes
Female,76,No,Yes,Yes,No,0,Yes,1,33,No Offer,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,Yes
Female,65,No,Yes,No,No,0,No,0,4,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,Yes
Male,75,No,Yes,Yes,No,0,Yes,1,27,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,Yes
Male,75,No,Yes,No,No,0,No,0,8,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,Yes
Female,68,No,Yes,Yes,No,0,Yes,1,3,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,Yes
